Rank,Ticker,Sector,Universe,Momentum (%),ATR20d,Price,Shares,Position ($),Sum ($)
1,CRWD,Information Technology,Nasdaq 100,523.737385011122,14.030348205566407,324.1499938964844,18,5834.7,5834.7
2,AMD,Semiconductors,S&P 500,474.6645157848792,7.90350112915039,192.52999877929688,32,6160.96,11995.66
3,NVDA,Semiconductors,S&P 500,389.60463764425515,32.05,791.1199951171875,8,6328.96,18324.62
4,BLDR,Building Products,S&P 500,364.1091319547205,5.593499755859375,195.17999267578125,46,8978.28,27302.9
5,TPR,"Apparel, Accessories & Luxury Goods",S&P 500,363.2563175887113,1.319000244140625,47.529998779296875,197,9363.41,36666.31
6,URI,Trading Companies & Distributors,S&P 500,332.1281862986437,15.752999877929687,693.27001953125,16,11092.32,47758.63
7,UBER,Passenger Ground Transportation,S&P 500,328.1083291215957,2.7413490295410154,79.5,94,7473.0,55231.63
8,CTLT,Pharmaceuticals,S&P 500,326.19158420448497,1.3567506790161132,57.34000015258789,191,10951.94,66183.56999999999
9,BBWI,Other Specialty Retail,S&P 500,296.5701952176274,1.4474998474121095,45.70000076293945,179,8180.3,74363.87
10,META,Interactive Media & Services,S&P 500,253.76014061851436,15.766494750976562,490.1300048828125,16,7842.08,82205.95
11,ASML,Information Technology,Nasdaq 100,250.52097664527838,22.326004028320312,951.6799926757812,11,10468.48,92674.43
12,RL,"Apparel, Accessories & Luxury Goods",S&P 500,245.4956638424567,5.211499786376953,185.9199981689453,49,9110.08,101784.51
13,MPWR,Semiconductors,S&P 500,245.42051689780322,30.3530029296875,720.0399780273438,8,5760.32,107544.82999999999
14,JNPR,Communications Equipment,S&P 500,238.36218169351167,0.22149887084960937,37.029998779296875,1173,43436.19,150981.02
15,ZS,Information Technology,Nasdaq 100,236.20486244209093,11.824298858642578,241.97000122070312,21,5081.37,156062.38999999998
16,AVGO,Semiconductors,S&P 500,235.48750782633516,33.87650146484375,1300.489990234375,7,9103.43,165165.81999999998
17,AXP,Consumer Finance,S&P 500,219.92616567338396,3.1889984130859377,219.4199981689453,81,17773.02,182938.83999999997
18,LRCX,Semiconductor Materials & Equipment,S&P 500,219.92246572594897,26.50450744628906,938.25,9,8444.25,191383.08999999997
19,VTRS,Pharmaceuticals,S&P 500,215.2262652291154,0.3869999885559082,12.369999885559082,671,8300.27,199683.35999999996
20,ISRG,Health Care Equipment,S&P 500,211.8531241534112,6.5370025634765625,385.6000061035156,39,15038.4,214721.75999999995
21,CRM,Application Software,S&P 500,210.8895315306078,6.853001403808594,308.82000732421875,37,11426.34,226148.09999999995
22,EFX,Research & Consulting Services,S&P 500,200.01283904084792,6.9645027160644535,273.5899963378906,37,10122.83,236270.92999999993
23,LUV,Passenger Airlines,S&P 500,196.86757976419375,0.9310005187988282,34.27000045776367,279,9561.33,245832.25999999992
24,MHK,Home Furnishings,S&P 500,195.19220490484173,3.482500457763672,118.62000274658203,74,8777.88,254610.13999999993
25,DASH,Consumer Discretionary,Nasdaq 100,195.0364959847593,5.01930046081543,124.56999969482422,51,6353.07,260963.20999999993
26,MRVL,Information Technology,Nasdaq 100,186.86225765848522,2.775,71.66000366210938,93,6664.38,267627.5899999999
27,GM,Automobile Manufacturers,S&P 500,185.9966484635064,0.8859998703002929,40.97999954223633,293,12007.14,279634.7299999999
28,SYF,Consumer Finance,S&P 500,184.91926717179302,0.8904996871948242,41.29999923706055,291,12018.3,291653.0299999999
29,DVA,Health Care Services,S&P 500,184.1968625561059,3.7314994812011717,126.97000122070312,69,8760.93,300413.9599999999
30,ANET,Communications Equipment,S&P 500,179.0255281880397,9.362247467041016,277.5400085449219,27,7493.58,307907.5399999999
31,FICO,Application Software,S&P 500,177.20504369305644,28.907513427734376,1269.9100341796875,8,10159.28,318066.81999999995
32,IR,Industrial Machinery & Supplies & Components,S&P 500,175.4939253882125,1.7680004119873047,91.33000183105469,147,13425.51,331492.32999999996
33,COF,Consumer Finance,S&P 500,175.3766590423021,3.1694976806640627,137.61000061035156,82,11284.02,342776.35
34,WDAY,Information Technology,Nasdaq 100,175.04262251862238,7.193998718261719,294.6600036621094,36,10607.76,353384.11
35,HCA,Health Care Facilities,S&P 500,167.7306241061667,5.482003784179687,311.70001220703125,47,14649.9,368034.01
36,ULTA,Other Specialty Retail,S&P 500,166.61417803916774,10.815995788574218,548.5599975585938,24,13165.44,381199.45
37,C,Diversified Banks,S&P 500,166.17259115477782,1.109499740600586,55.4900016784668,234,12984.66,394184.11
38,MAS,Building Products,S&P 500,163.4848757051476,1.6210002899169922,76.76000213623047,160,12281.6,406465.70999999996
39,CAT,Construction Machinery & Heavy Transportation Equipment,S&P 500,161.17265758719032,7.266998291015625,333.9599914550781,35,11688.6,418154.30999999994
40,TRV,Property & Casualty Insurance,S&P 500,156.92181380237375,3.157001495361328,220.9600067138672,82,18118.72,436273.0299999999
41,DFS,Consumer Finance,S&P 500,156.23431072564034,3.0610008239746094,120.69999694824219,84,10138.8,446411.8299999999
42,NFLX,Movies & Entertainment,S&P 500,155.66378759830778,12.846499633789062,602.9199829101562,20,12058.4,458470.2299999999
43,WDC,"Technology Hardware, Storage & Peripherals",S&P 500,153.84965794666329,1.4025001525878906,59.470001220703125,185,11001.95,469472.17999999993
44,LEN,Homebuilding,S&P 500,152.3112384272135,3.6709991455078126,158.50999450683594,70,11095.7,480567.87999999995
45,FITB,Diversified Banks,S&P 500,151.50171494834586,0.8494998931884765,34.34000015258789,306,10508.04,491075.9199999999
46,TT,Building Products,S&P 500,150.30951495935,5.605501556396485,281.9700012207031,46,12970.62,504046.5399999999
47,PHM,Homebuilding,S&P 500,149.41006674545935,2.585000991821289,108.37999725341797,100,10838.0,514884.5399999999
48,COST,Consumer Staples Merchandise Retail,S&P 500,145.16954710757398,9.633993530273438,743.8900146484375,26,19341.14,534225.6799999999
49,PH,Industrial Machinery & Supplies & Components,S&P 500,141.70314955997492,10.001995849609376,535.4500122070312,25,13386.25,547611.9299999999
50,ALLE,Building Products,S&P 500,140.02900113338418,3.2264999389648437,127.87000274658203,80,10229.6,557841.5299999999
